image_name,label
0.jpg,frog
1.jpg,truck
2.jpg,truck
3.jpg,deer
4.jpg,automobile
5.jpg,automobile
6.jpg,bird
7.jpg,horse
8.jpg,ship
9.jpg,cat
10.jpg,deer
11.jpg,horse
12.jpg,horse
13.jpg,bird
14.jpg,truck
15.jpg,truck
16.jpg,truck
17.jpg,cat
18.jpg,bird
19.jpg,frog
20.jpg,deer
21.jpg,cat
22.jpg,frog
23.jpg,frog
24.jpg,bird
25.jpg,frog
26.jpg,cat
27.jpg,dog
28.jpg,deer
29.jpg,airplane
30.jpg,airplane
31.jpg,truck
32.jpg,automobile
33.jpg,cat
34.jpg,deer
35.jpg,airplane
36.jpg,cat
37.jpg,horse
38.jpg,cat
39.jpg,cat
40.jpg,dog
41.jpg,bird
42.jpg,bird
43.jpg,horse
44.jpg,automobile
45.jpg,automobile
46.jpg,automobile
47.jpg,bird
48.jpg,bird
49.jpg,airplane
50.jpg,truck
51.jpg,dog
52.jpg,horse
53.jpg,truck
54.jpg,bird
55.jpg,bird
56.jpg,dog
57.jpg,bird
58.jpg,deer
59.jpg,cat
60.jpg,automobile
61.jpg,automobile
62.jpg,ship
63.jpg,bird
64.jpg,automobile
65.jpg,automobile
66.jpg,deer
67.jpg,truck
68.jpg,horse
69.jpg,ship
70.jpg,dog
71.jpg,truck
72.jpg,frog
73.jpg,horse
74.jpg,cat
75.jpg,automobile
76.jpg,truck
77.jpg,airplane
78.jpg,cat
79.jpg,automobile
80.jpg,cat
81.jpg,dog
82.jpg,deer
83.jpg,dog
84.jpg,horse
85.jpg,horse
86.jpg,deer
87.jpg,horse
88.jpg,truck
89.jpg,deer
90.jpg,bird
91.jpg,cat
92.jpg,ship
93.jpg,airplane
94.jpg,automobile
95.jpg,frog
96.jpg,automobile
97.jpg,automobile
98.jpg,deer
99.jpg,automobile
100.jpg,ship
101.jpg,cat
102.jpg,truck
103.jpg,frog
104.jpg,frog
105.jpg,automobile
106.jpg,ship
107.jpg,dog
108.jpg,bird
109.jpg,truck
110.jpg,truck
111.jpg,ship
112.jpg,automobile
113.jpg,horse
114.jpg,horse
115.jpg,airplane
116.jpg,airplane
117.jpg,frog
118.jpg,truck
119.jpg,automobile
120.jpg,bird
121.jpg,bird
122.jpg,truck
123.jpg,bird
124.jpg,frog
125.jpg,frog
126.jpg,automobile
127.jpg,truck
128.jpg,dog
129.jpg,airplane
130.jpg,deer
131.jpg,horse
132.jpg,frog
133.jpg,horse
134.jpg,automobile
135.jpg,ship
136.jpg,automobile
137.jpg,automobile
138.jpg,bird
139.jpg,ship
140.jpg,automobile
141.jpg,cat
142.jpg,cat
143.jpg,frog
144.jpg,bird
145.jpg,deer
146.jpg,truck
147.jpg,truck
148.jpg,dog
149.jpg,deer
150.jpg,cat
151.jpg,frog
152.jpg,horse
153.jpg,deer
154.jpg,frog
155.jpg,ship
156.jpg,dog
157.jpg,dog
158.jpg,deer
159.jpg,cat
160.jpg,automobile
161.jpg,ship
162.jpg,deer
163.jpg,horse
164.jpg,frog
165.jpg,airplane
166.jpg,truck
167.jpg,dog
168.jpg,automobile
169.jpg,cat
170.jpg,ship
171.jpg,bird
172.jpg,horse
173.jpg,dog
174.jpg,cat
175.jpg,deer
176.jpg,automobile
177.jpg,dog
178.jpg,horse
179.jpg,airplane
180.jpg,deer
181.jpg,horse
182.jpg,dog
183.jpg,dog
184.jpg,automobile
